Country,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016
Bangladesh,131581243,134107160,136600667,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560
Brazil,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865
China,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000
Germany,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82667685
Spain,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46447697,46443959
France,60912498,61357431,61805267,62244884,62704897,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65659790,65998570,66331957,66624068,66896109
Indonesia,211540429,214506502,217508059,220545214,223614649,226712730,229838202,232989141,236159276,239340478,242524123,245707511,248883232,252032263,255131116,258162113,261115456
India,1053050912,1071477855,1089807112,1108027848,1126135777,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354
Ireland,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4617225,4676835,4773095
"Iran, Islamic Rep.",66131854,67096414,67983330,68812713,69617100,70421811,71227880,72031103,72845542,73687565,74567511,75491582,76453574,77435384,78411092,79360487,80277428
Pakistan,138523285,141601437,144654143,147703401,150780300,153909667,157093993,160332974,163644603,167049580,170560182,174184265,177911533,181712595,185546257,189380513,193203476
Peru,25914879,26261363,26601467,26937738,27273194,27610410,27949944,28292724,28641980,29001507,29373646,29759989,30158966,30565716,30973354,31376671,31773839
Philippines,77991569,79665315,81352060,83031954,84678493,86274237,87809419,89293490,90751864,92220879,93726624,95277940,96866642,98481032,100102249,101716359,103320222
Qatar,592267,616886,645659,688586,758855,864863,1010382,1189633,1389342,1590780,1779676,1952054,2109568,2250473,2374419,2481539,2569804
United States,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309348193,311663358,313998379,316204908,318563456,320896618,323127513
World,6118075293,6197638117,6276824418,6356259574,6436346998,6517020798,6598421257,6680423047,6763745673,6847214549,6930656699,7012843635,7097400665,7182860115,7268986176,7355220412,7442135578
